key,translatorHint,value
aboutP2b, "and all decisions are made in the open on the projects repo, hosted on",
aboutP3, "The aim of the project is to make finding out this information as easy as possible, with the maximum of community involvement. Therefore the design of the website is to be as easy and quick to use as possible. It is focused around the map page which is the primary resource for searching the index",
aboutP4, "All the code that makes up the website is available in the projects repo and is viewable by anybody. The website and data is hosted using community donated resources. The Api provides access to the data to anybody who wants it. Over time it is expected that the number of Api endpoints will be increased to make it more useful to developers and researchers",
aboutContributing, "Contributing",
aboutP5, "The quickest and easiest way to contribute to the project is to submit a review. This just means adding a new place to the index or updating an existing one if necessary",
aboutP6, "Anybody can do this and no login or account is necessary",
aboutP7a, "If there are any issues discovered, bugs found or suggestions to be made then check out the",
aboutP7b, "issues page",
aboutP7c, "on",
aboutP8, "Those who wish to be more involved should check out the project repo, which is hosted on",
aboutP9, "There is plenty of work to do to make this project a useful tool for Welsh learners",
submitTitle, "Submit a categorisation",
submitName, "Name",
submitCategory, "Category",
submitStatus, "Status",
howToTitle, "How to",
howToFind, "find somewhere already listed",
howToOL1a, "The premises you selected in the map page will appear in the submit box ready for your review of Welsh speaking likelyhood",
howToOL1b, "Choose what you feel is best and hit submit",
howToOL1c, "If the premises you selected is not where you want to submit a review for then just drag the map pin, the form will be cleared, and you can locate the premises you want to submit",
howToSubmit, "submit a new premises",
howToOL2a, "Drag the map pin to locate the place",
howToOL2b, "The coordinates and postcode will be filled out. Just add the name of the premises and the address as you would like it to appear in the index",
howToOL2c, "Select how likely you feel a person is to hear and be able to use Welsh in the premises. This isn't scientific, just what you think is likely",
howToInaccurate, "If the index appears inaccurate",
howToP1, "The category (how likely it is to use Welsh) of a premises is calculated by aggregating all the reviews received. So your submission will be taken into account straight away, but it may or may not affect the current rating",
howToP2, "If you feel the rating of a premises is way off and remains way off after you have submitted your rating, then please get in touch. If you are the business owner we can help by pointing you in the direction of resources to help increase the use of Welsh in your business. If the data in the index is just plain wrong then we can correct it",
formSubmitted, "Submitted",
formSubmit, "Submit",
formClear, "Clear",
formClearToDrop, "Clear the form to drop a pin",
formDragPin, "Drag the pin...",
formName, "Name of premises",
formAddress, "Address of premises",
formPostcode, "Postcode of premises",
formCoordinates, "Coordinates",
formCategory, "Category",
errorMissingName, "A name is required",
errorMissingAddress, "An address is required to identify the premises",
errorMissingCategory, "A category is required to help others know what to expect",
errorInvalidPostcode, "If a postcode is supplied it must be valid, or just use the coordinates",
errorInvalidCoordinates, "Coordinates can be set by moving the pin on the map and are required",
errorInvalidCategory, "The category has to be set",
errorCoordinatesMismatch, "It has not been possible to verify the supplied coordinates, please try again",
privacyType, "Type",
privacyLink, "Download link",
privacySHA256, "SHA256 Hash",
