key,translatorHint,value
mapLegendSubheading, "A quick glympse of Welsh speaking likeliness", "Un rapido lampo di verosimiglianza di lingua gallese"
vocabTitle, "Vocabulary", "Vocabolario"
vocabBeta, "Beta", "Beta"
vocabP1, "This is a beta version of an attempt to provide a searchable resource for commonly heard sayings", "Questa è una versione beta di un tentativo di fornire una risorsa ricercabile per detti comunemente ascoltati"
vocabP2, "Currently it has", "Attualmente lo ha"
vocabP3, "words and phrases out of a target of", "parole e frasi fuori da un obiettivo di"
vocabResultsFound, "phrases and words found", "frasi e parole trovate"
vocabEnglish, "English", "Inglese"
vocabCymraeg, "Cymraeg", "Cymraeg"
vocabNotes, "Notes", "Appunti"
aboutTitle, "About", "Di"
aboutSub1, "What can", "Cosa può"
aboutSub2, "do?", "fare?"
aboutP1, "Byw.cymru is a community driven, crowd sourced, Welsh language resource. Its primary aim is to help learners and others who are interested in the language find places where they can hear and use the language", "Byw.cymru è una risorsa in lingua gallese guidata dalla comunità e raccolta in crowdsourcing. Il suo scopo principale è aiutare gli studenti e gli altri interessati alla lingua a trovare luoghi in cui possono ascoltare e usare la lingua"
aboutP2a, "The whole project is", "L'intero progetto è"
aboutOpenSource, "open source", "open source"
aboutP2b, "and all decisions are made in the open on the projects repo, hosted on", "e tutte le decisioni vengono prese all'aperto nel repository dei progetti, ospitato su"
aboutP3, "The aim of the project is to make finding out this information as easy as possible, with the maximum of community involvement. Therefore the design of the website is to be as easy and quick to use as possible. It is focused around the map page which is the primary resource for searching the index", "Lo scopo del progetto è rendere la ricerca di queste informazioni il più semplice possibile, con il massimo coinvolgimento della comunità. Pertanto il design del sito web deve essere il più facile e veloce possibile da usare. Si concentra sulla pagina della mappa che è la risorsa principale per la ricerca nell'indice"
aboutP4, "All the code that makes up the website is available in the projects repo and is viewable by anybody. The website and data is hosted using community donated resources. The Api provides access to the data to anybody who wants it. Over time it is expected that the number of Api endpoints will be increased to make it more useful to developers and researchers", "Tutto il codice che compone il sito web è disponibile nel repository dei progetti ed è visualizzabile da chiunque. Il sito Web e i dati sono ospitati utilizzando risorse donate dalla comunità. L'API fornisce l'accesso ai dati a chiunque lo desideri. Nel tempo si prevede che il numero di endpoint API aumenterà per renderlo più utile per sviluppatori e ricercatori"
aboutContributing, "Contributing", "Contribuire"
aboutP5, "The quickest and easiest way to contribute to the project is to submit a review. This just means adding a new place to the index or updating an existing one if necessary", "Il modo più rapido e semplice per contribuire al progetto è inviare una recensione. Ciò significa semplicemente aggiungere una nuova posizione all'indice o aggiornarne una esistente, se necessario"
aboutP6, "Anybody can do this and no login or account is necessary", "Chiunque può farlo e non è necessario alcun login o account"
aboutP7a, "If there are any issues discovered, bugs found or suggestions to be made then check out the", "Se vengono rilevati problemi, bug rilevati o suggerimenti da fornire, controllare il file"
aboutP7b, "issues page", "pagina dei problemi"
aboutP7c, "on", "su"
aboutP8, "Those who wish to be more involved should check out the project repo, which is hosted on", "Coloro che desiderano essere più coinvolti dovrebbero controllare il repository del progetto, che è ospitato su"
aboutP9, "There is plenty of work to do to make this project a useful tool for Welsh learners", "C'è molto lavoro da fare per rendere questo progetto uno strumento utile per gli studenti gallesi"
submitTitle, "Submit a categorisation", "Invia una classificazione"
submitName, "Name", "Nome"
submitCategory, "Category", "Categoria"
submitStatus, "Status", "Stato"
howToTitle, "How to", "Come"
howToFind, "find somewhere already listed", "trova un posto già elencato"
howToOL1a, "The premises you selected in the map page will appear in the submit box ready for your review of Welsh speaking likelyhood", "I locali che hai selezionato nella pagina della mappa appariranno nella casella di invio pronti per la tua revisione della probabilità di parlare gallese"
howToOL1b, "Choose what you feel is best and hit submit", "Scegli ciò che ritieni sia migliore e premi Invia"
howToOL1c, "If the premises you selected is not where you want to submit a review for then just drag the map pin, the form will be cleared, and you can locate the premises you want to submit", "Se i locali che hai selezionato non sono quelli per i quali desideri inviare una recensione, trascina semplicemente il segnaposto della mappa, il modulo verrà cancellato e potrai individuare i locali che desideri inviare"
howToSubmit, "submit a new premises", "presentare una nuova sede"
howToOL2a, "Drag the map pin to locate the place", "Trascina il segnaposto della mappa per individuare il luogo"
howToOL2b, "The coordinates and postcode will be filled out. Just add the name of the premises and the address as you would like it to appear in the index", "Le coordinate e il codice postale verranno inseriti. Basta aggiungere il nome dei locali e l'indirizzo come vorresti che appaia nell'indice"
howToOL2c, "Select how likely you feel a person is to hear and be able to use Welsh in the premises. This isn't scientific, just what you think is likely", "Seleziona la probabilità che una persona senta e sia in grado di usare il gallese nei locali. Questo non è scientifico, solo quello che pensi sia probabile"
howToInaccurate, "If the index appears inaccurate", "Se l'indice appare impreciso"
howToP1, "The category (how likely it is to use Welsh) of a premises is calculated by aggregating all the reviews received. So your submission will be taken into account straight away, but it may or may not affect the current rating", "La categoria (quanto è probabile che utilizzi il gallese) di un locale viene calcolata aggregando tutte le recensioni ricevute. Quindi la tua richiesta verrà presa in considerazione immediatamente, ma potrebbe o meno influenzare la valutazione attuale"
howToP2, "If you feel the rating of a premises is way off and remains way off after you have submitted your rating, then please get in touch. If you are the business owner we can help by pointing you in the direction of resources to help increase the use of Welsh in your business. If the data in the index is just plain wrong then we can correct it", "Se ritieni che la valutazione di un locale sia lontana e rimanga lontana dopo aver inviato la tua valutazione, contattaci. Se sei il titolare dell'attività, possiamo aiutarti indicandoti le risorse per aumentare l'uso del gallese nella tua attività. Se i dati nell'indice sono semplicemente sbagliati, possiamo correggerli"
formSubmitted, "Submitted", "Inviato"
formSubmit, "Submit", "Invia"
formClear, "Clear", "Chiaro"
formClearToDrop, "Clear the form to drop a pin", "Cancella il modulo per inserire un segnaposto"
formDragPin, "Drag the pin...", "Trascina il segnaposto..."
formName, "Name of premises", "Nome dei locali"
formAddress, "Address of premises", "Indirizzo dei locali"
formPostcode, "Postcode of premises", "Codice postale dei locali"
formCoordinates, "Coordinates", "Coordinate"
formCategory, "Category", "Categoria"
errorMissingName, "A name is required", "È richiesto un nome"
errorMissingAddress, "An address is required to identify the premises", "È necessario un indirizzo per identificare i locali"
errorMissingCategory, "A category is required to help others know what to expect", "È necessaria una categoria per aiutare gli altri a sapere cosa aspettarsi"
errorInvalidPostcode, "If a postcode is supplied it must be valid, or just use the coordinates", "Se viene fornito un codice postale, deve essere valido o utilizzare semplicemente le coordinate"
errorInvalidCoordinates, "Coordinates can be set by moving the pin on the map and are required", "Le coordinate possono essere impostate spostando il segnaposto sulla mappa e sono obbligatorie"
errorInvalidCategory, "The category has to be set", "La categoria deve essere impostata"
errorCoordinatesMismatch, "It has not been possible to verify the supplied coordinates, please try again", "Non è stato possibile verificare le coordinate fornite, riprova"
privacyType, "Type", "Genere"
privacyLink, "Download link", "Link per scaricare"
privacySHA256, "SHA256 Hash", "SHA256 Hash"
