Name,Address,Suite,Telephone,Website,Hours,Email,Image Url,Latitude,Longitude,Category
Ceredigion Museum,"Amgueddfa Ceredigion Museum, Aberystwyth SY23 2AQ, UK",,+441970633088,https://www.breatheyourwelsh.cymru/aberystwyth-ceredigionmuseum,"Monday: 10:00 am – 5:00 pm,Tuesday: 10:00 am – 5:00 pm,Wednesday: 10:00 am – 5:00 pm,Thursday: 10:00 am – 5:00 pm,Friday: 10:00 am – 5:00 pm,Saturday: 10:00 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.4162576,-4.08377610000002,50-74%
Cletwr - Coffee Shop,"Tynywern, Machynlleth SY20 8PN, UK",,+441970832113,https://www.breatheyourwelsh.cymru/machynlleth-cletwr,"Monday: 8:30 am – 6:30 pm,Tuesday: 8:30 am – 6:30 pm,Wednesday: 8:30 am – 6:30 pm,Thursday: 8:30 am – 6:30 pm,Friday: 8:30 am – 6:30 pm,Saturday: 8:30 am – 6:30 pm,Sunday: 8:30 am – 5:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.5123826,-3.97593759999995,50-74%
Clwb Ifor Bach,"11 Womanby St, Cardiff CF10 1BR, UK",,+442920232199,https://www.breatheyourwelsh.cymru/cardiff-clwbiforbach,"Monday: 7:00 – 10:30 pm, 11:00 pm – 3:00 am,Tuesday: 7:00 – 10:30 pm,Wednesday: 7:00 – 10:30 pm,Thursday: 7:00 pm – 4:00 am,Friday: 7:00 pm – 4:00 am,Saturday: 7:00 pm – 4:00 am,Sunday: 7:00 – 10:30 pm",,/static/miralabs/wixapp/images/blank_image.png,51.480534,-3.18141600000001,75%+
Clwb Y Bont,"85A Taff St, Pontypridd CF37 4SL, UK",,+441443491424,https://www.breatheyourwelsh.cymru/pontypridd-clwbypont,"Monday: 7:00 – 11:00 pm,Tuesday: 7:00 – 11:00 pm,Wednesday: 7:00 – 11:00 pm,Thursday: 7:00 – 11:00 pm,Friday: 4:30 pm – 1:00 am,Saturday: 12:00 pm – 1:00 am,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.6015781,-3.34011229999999,75%+
Clynderwen & Cardiganshire Farmers Ltd,"Station Rd, Tregaron SY25 6HX, UK",,+441974298472,https://www.breatheyourwelsh.cymru/tregaron-ccs,"Monday: 8:15 am – 5:00 pm,Tuesday: 8:15 am – 5:00 pm,Wednesday: 8:15 am – 5:00 pm,Thursday: 8:15 am – 5:00 pm,Friday: 8:15 am – 5:00 pm,Saturday: 8:15 am – 12:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.2217325,-3.93553180000004,75%+
Coffee #1,"Portland Street, Aberystwyth SY23 2DX, UK",,+441970623318,https://www.breatheyourwelsh.cymru/ceredigion-coffee1,"Monday: 8:00 am – 6:30 pm,Tuesday: 8:00 am – 6:30 pm,Wednesday: 8:00 am – 6:30 pm,Thursday: 8:00 am – 6:30 pm,Friday: 8:00 am – 6:30 pm,Saturday: 8:00 am – 6:30 pm,Sunday: 9:00 am – 6:30 pm",,/static/miralabs/wixapp/images/blank_image.png,52.4161093,-4.08360300000004,25-49%
Conti's Cafe,"5 Harford Square, Lampeter SA48 7HD, UK",,+441570422223,https://www.breatheyourwelsh.cymru/lampeter-contis,"Monday: 9:00 am – 5:00 pm,Tuesday: 9:00 am – 5:00 pm,Wednesday: 9:00 am – 5:00 pm,Thursday: 9:00 am – 5:00 pm,Friday: 9:00 am – 5:00 pm,Saturday: 9:00 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.1128252,-4.07881329999998,50-74%
Dovey Valley Hotel,"Cemmaes Road, SY20 8JZ",,,https://www.breatheyourwelsh.cymru/machynlleth-doveyvalley,,,images/blank_image.png,52.6244181,-3.74451399999998,75%+
Gulf Dryslwyn Filling Station,"Llwyncelyn SA46 0HF, UK",,+441545580381,https://www.breatheyourwelsh.cymru/llwyncelyn-gulfservicestation,"Monday: 6:30 am – 8:00 pm,Tuesday: 6:30 am – 8:00 pm,Wednesday: 6:30 am – 8:00 pm,Thursday: 6:30 am – 8:00 pm,Friday: 6:30 am – 8:00 pm,Saturday: 6:30 am – 8:00 pm,Sunday: 8:00 am – 8:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.2132548,-4.28196960000002,75%+
Harry Tuffins,"Station Garage, Heol Y Doll, Machynlleth, Powys SY20 8BH, UK",,+44 1654 702108,,,,/static/miralabs/wixapp/images/blank_image.png,52.5943489,-3.85547250000002,75%+
Horton's Coffee House,"Millennium Walk, Newport NP19 0NX, UK",,+441633258329,https://www.breatheyourwelsh.cymru/newport-hortonscoffeehouse,"Monday: 8:00 am – 7:00 pm,Tuesday: 8:00 am – 7:00 pm,Wednesday: 8:00 am – 8:00 pm,Thursday: 8:00 am – 8:00 pm,Friday: 8:00 am – 9:00 pm,Saturday: 8:00 am – 9:00 pm,Sunday: 9:00 am – 7:00 pm",,/static/miralabs/wixapp/images/blank_image.png,51.587123,-2.98881499999993,25-49%
Iago,"14 Great Darkgate St, Aberystwyth SY23 1DE, UK",,,https://www.breatheyourwelsh.cymru/aberystwyth-iago,,,/static/miralabs/wixapp/images/blank_image.png,52.4147091,-4.08423570000002,75%+
Lloyd's Fish and Chips,"4 Bridge St, Lampeter SA48 7HG, UK",,+44 1570 422366,http://www.lloydsfishandchips.co.uk/,"Monday: 11:30 am – 7:00 pm,Tuesday: 11:30 am – 9:00 pm,Wednesday: 11:30 am – 9:00 pm,Thursday: 11:30 am – 9:00 pm,Friday: 11:30 am – 9:00 pm,Saturday: 11:30 am – 9:00 pm,Sunday: 4:30 – 8:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.1125914,-4.07789769999999,50-74%
London Welsh Centre,"157-163 Grays Inn Rd, Holborn, London WC1X 8UE, UK",,+442078373722,https://www.breatheyourwelsh.cymru/london-londonwelshcentre,"Monday: 9:00 am – 9:00 pm,Tuesday: 9:00 am – 11:00 pm,Wednesday: 9:00 am – 11:00 pm,Thursday: 9:00 am – 11:00 pm,Friday: 9:00 am – 6:00 pm,Saturday: 9:00 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.524957,-0.116761999999994,75%+
Moody  Cow Farm Coffee Shop,"Llwyncelyn, Aberaeron SA46 0HL, UK",,+447976464965,https://www.breatheyourwelsh.cymru/aberaeron-moodycowfarm,,,/static/miralabs/wixapp/images/blank_image.png,52.2082014,-4.28724629999999,75%+
National Library of Wales,"Penglais Rd, Aberystwyth SY23 3BU, UK",,+441970632800,https://www.breatheyourwelsh.cymru/aberystwyth-nationallibrary,"Monday: 9:00 am – 6:00 pm,Tuesday: 9:00 am – 6:00 pm,Wednesday: 9:00 am – 6:00 pm,Thursday: 9:00 am – 6:00 pm,Friday: 9:00 am – 6:00 pm,Saturday: 9:30 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.4144768,-4.06847370000003,75%+
Pantri Blakeman Restaurant,"31A Blue St, Carmarthen SA31 3LE, UK",,,https://www.breatheyourwelsh.cymru/carmarthen-pantriblakeman,"Monday: Closed,Tuesday: 8:30 am – 3:00 pm,Wednesday: 8:30 am – 3:00 pm,Thursday: 8:30 am – 3:00 pm,Friday: 8:30 am – 3:00 pm,Saturday: 8:30 am – 4:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.8559496,-4.30792240000005,75%+
Ponterwyd Petrol Station,"Ponterwyd, Aberystwyth SY23 3AD, UK",,+441970890649,https://www.breatheyourwelsh.cymru/ponterwyd-petrolstation,"Monday: 7:00 am – 10:00 pm,Tuesday: 7:00 am – 10:00 pm,Wednesday: 7:00 am – 10:00 pm,Thursday: 7:00 am – 10:00 pm,Friday: 7:00 am – 10:00 pm,Saturday: 7:00 am – 10:00 pm,Sunday: 7:00 am – 10:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.4104881,-3.84232020000002,75%+
Rhiannon,"Y Sgwar, Tregaron SY25 6JL, UK",,+441974298415,https://www.breatheyourwelsh.cymru/tregaron-rhiannon,"Monday: 9:30 am – 5:00 pm,Tuesday: 9:30 am – 5:00 pm,Wednesday: 9:30 am – 5:00 pm,Thursday: 9:30 am – 5:00 pm,Friday: 9:30 am – 5:00 pm,Saturday: 9:30 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.219664,-3.93325290000007,75%+
Richmond Hotel,"45 Marine Terrace, Aberystwyth SY23 2BX, UK",,+441970612201,https://www.breatheyourwelsh.cymru/aberystwyth-gwestyrichmond,,,/static/miralabs/wixapp/images/blank_image.png,52.4182118,-4.08402750000005,75%+
Riverbank Cafe and Farm Shop,"Tregaron SY25 6HG, UK",,+441974298008,https://www.breatheyourwelsh.cymru/tregaron-riverbank,"Monday: Closed,Tuesday: 10:00 am – 6:00 pm,Wednesday: 10:00 am – 6:00 pm,Thursday: 10:00 am – 6:00 pm,Friday: 10:00 am – 6:00 pm,Saturday: 10:00 am – 6:00 pm,Sunday: 10:00 am – 6:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.2144947,-3.94170059999999,50-74%
Siop Inc,"13 Bridge St, Aberystwyth SY23 1PY, UK",,+441970626200,https://www.breatheyourwelsh.cymru/aberystwyth-siopinc,"Monday: 9:00 am – 5:30 pm,Tuesday: 9:00 am – 5:30 pm,Wednesday: 9:00 am – 5:30 pm,Thursday: 9:00 am – 5:30 pm,Friday: 9:00 am – 5:30 pm,Saturday: 9:00 am – 5:30 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.413746,-4.08582999999999,75%+
Siop Shop - Coffee,"53 Tib St, Manchester M4 1LS, UK",,,https://www.breatheyourwelsh.cymru/manchester-siopshop,"Monday: Closed,Tuesday: 8:00 am – 6:00 pm,Wednesday: 8:00 am – 6:00 pm,Thursday: 8:00 am – 6:00 pm,Friday: 8:00 am – 6:00 pm,Saturday: 9:00 am – 6:00 pm,Sunday: 10:30 am – 5:00 pm",,/static/miralabs/wixapp/images/blank_image.png,53.4843645,-2.23403689999998,25-49%
Siop Tresaith,"Ship Inn, Tresaith, Cardigan SA43 2JL, UK",,+441239811565,https://www.breatheyourwelsh.cymru/tresaith-beachshop,,,/static/miralabs/wixapp/images/blank_image.png,52.1352936,-4.51615340000001,75%+
Siop Ty Tawe,"9 Christina St, Swansea SA1 4EW, UK",,+441792456856,https://www.breatheyourwelsh.cymru/swansea-siopytawe,"Monday: 10:00 am – 4:00 pm,Tuesday: 10:00 am – 4:00 pm,Wednesday: 10:00 am – 4:00 pm,Thursday: 10:00 am – 4:00 pm,Friday: 10:00 am – 4:00 pm,Saturday: 10:00 am – 4:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.6204702,-3.94965669999999,75%+
Siop-Y-Bont,"9 Market St, Pontypridd CF37 2ST, UK",,+441443402584,https://www.breatheyourwelsh.cymru/pontypridd-siopybont,"Monday: 9:00 am – 2:30 pm,Tuesday: 9:00 am – 4:00 pm,Wednesday: 9:00 am – 5:00 pm,Thursday: 9:00 am – 4:00 pm,Friday: 9:00 am – 5:00 pm,Saturday: 9:00 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.6024884,-3.34101759999999,75%+
Siop Y Pentan - Bookshop,"12-14 Market Precinct, Carmarthen SA31 1QZ, UK",,+441267235044,https://www.breatheyourwelsh.cymru/carmarthen-siopypentan,"Monday: 9:00 am – 5:00 pm,Tuesday: 9:00 am – 5:00 pm,Wednesday: 9:00 am – 5:00 pm,Thursday: 9:00 am – 5:00 pm,Friday: 9:00 am – 5:00 pm,Saturday: 9:00 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.8577263,-4.30891489999999,75%+
Siop Y Pethe - Book Shop,"3 Sgwar Owain Glyndwr, Aberystwyth SY23 2JH, UK",,+441970617120,https://www.breatheyourwelsh.cymru/ceredigion-siopypethe,"Monday: 9:00 am – 5:30 pm,Tuesday: 9:00 am – 5:30 pm,Wednesday: 9:00 am – 5:30 pm,Thursday: 9:00 am – 5:30 pm,Friday: 9:00 am – 5:30 pm,Saturday: 9:00 am – 5:30 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.415183,-4.08279200000004,75%+
Siop Y Siswrn,"6-8 New St, Mold CH7 1NZ, UK",,+441352753200,https://www.breatheyourwelsh.cymru/mold-siopysiswrn,"Monday: 9:00 am – 4:30 pm,Tuesday: 9:00 am – 4:30 pm,Wednesday: 9:00 am – 4:30 pm,Thursday: Closed,Friday: 9:00 am – 4:30 pm,Saturday: 9:00 am – 4:30 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,53.1663858,-3.14182030000006,75%+
Sophie Bach Tea & Coffee Room,"13 Cambrian Pl, Aberystwyth SY23 1NT, UK",,+441970627993,https://www.breatheyourwelsh.cymru/aberystwyth-sophiebach,,,/static/miralabs/wixapp/images/blank_image.png,52.4145872,-4.08291329999997,50-74%
St. Fagans National Museum of History,"St Fagans, Cardiff CF5 6XB, UK",,+443001112333,https://www.breatheyourwelsh.cymru/cardiff-stfagansmuseum,"Monday: 10:00 am – 5:00 pm,Tuesday: 10:00 am – 5:00 pm,Wednesday: 10:00 am – 5:00 pm,Thursday: 10:00 am – 5:00 pm,Friday: 10:00 am – 5:00 pm,Saturday: 10:00 am – 5:00 pm,Sunday: 10:00 am – 5:00 pm",,/static/miralabs/wixapp/images/blank_image.png,51.4868364,-3.27305669999998,75%+
The Borough Welsh Congregational Chapel,"90 Southwark Bridge Rd, London SE1 0EX, UK",,,https://www.breatheyourwelsh.cymru/london-capelyboro,,,/static/miralabs/wixapp/images/blank_image.png,51.5028201,-0.096749400000021,75%+
The Cabin - Y Caban - Cafe,"21B Pier St, Aberystwyth SY23 2LN, UK",,+441970615119,https://www.breatheyourwelsh.cymru/aberystwyth-ycaban,,,/static/miralabs/wixapp/images/blank_image.png,52.4148713,-4.08628950000002,75%+
The Captain's Rendezvous,"Church St, New Quay SA45 9NT, UK",,+441545560507,https://www.breatheyourwelsh.cymru/newquaythecaptainsrendezvous,"Monday: 12:00 am – 10:00 pm,Tuesday: 12:00 am – 10:00 pm,Wednesday: 12:00 am – 10:00 pm,Thursday: 12:00 am – 10:00 pm,Friday: 12:00 am – 10:00 pm,Saturday: 12:00 am – 10:00 pm,Sunday: 12:00 am – 10:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.2154573,-4.35935210000002,75%+
The Kings Head,"8 Agincourt Square, Monmouth NP25 3DY, UK",,+441600710500,https://www.breatheyourwelsh.cymru/momouth-kingshead,,,/static/miralabs/wixapp/images/blank_image.png,51.8117605,-2.71567359999995,25-49%
The New Celtic Restaurant,"8 Market St, Aberaeron SA46 0AS, UK",,+441545570369,https://www.breatheyourwelsh.cymru/aberaeron-thenewceltic,"Monday: 8:00 am – 8:00 pm,Tuesday: 8:00 am – 8:00 pm,Wednesday: 8:00 am – 8:00 pm,Thursday: 8:00 am – 8:00 pm,Friday: 8:00 am – 8:00 pm,Saturday: 8:00 am – 8:00 pm,Sunday: 8:00 am – 8:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.2428078,-4.26022820000003,75%+
The Welsh Church of Central London,"30 Eastcastle St, Fitzrovia, London W1W 8DJ, UK",,+442075806182,https://www.breatheyourwelsh.cymru/london-eglwyscymraegcanollundain,,,/static/miralabs/wixapp/images/blank_image.png,51.5166331,-0.138629900000069,75%+
T. H. Roberts,"Parliament House, Bridge St, Dolgellau LL40 1BD, UK",,+441341423573,https://www.breatheyourwelsh.cymru/dolgellau-throberts,"Monday: 9:00 am – 5:30 pm,Tuesday: 9:00 am – 5:30 pm,Wednesday: 9:00 am – 5:30 pm,Thursday: 9:00 am – 5:30 pm,Friday: 9:00 am – 5:30 pm,Saturday: 9:00 am – 5:30 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.7432056,-3.88536720000002,75%+
Windy Corner Garage,"Windy Corner Garage, Pencader SA39 9HP, UK",,+441559389052,https://www.breatheyourwelsh.cymru/pencader-windycornergarage,"Monday: 6:00 am – 9:00 pm,Tuesday: 6:00 am – 9:00 pm,Wednesday: 6:00 am – 9:00 pm,Thursday: 6:00 am – 9:00 pm,Friday: 6:00 am – 9:00 pm,Saturday: 6:00 am – 8:00 pm,Sunday: 8:00 am – 7:00 pm",,/static/miralabs/wixapp/images/blank_image.png,51.975933,-4.25547200000005,75%+
Y Dafarn Datws,"Waun Fawr, Aberystwyth SY23 3QH, UK",,,,,,/static/miralabs/wixapp/images/blank_image.png,52.4183004,-4.05999880000002,75%+
Yr Atom - Cafe,"16-18 Stryd y Brenin, King St, Carmarthen SA31 1BN, UK",,+443003231848,https://www.breatheyourwelsh.cymru/carmarthen-yratom,"Monday: 9:00 am – 4:30 pm,Tuesday: 9:00 am – 4:30 pm,Wednesday: 9:00 am – 4:30 pm,Thursday: 9:00 am – 4:30 pm,Friday: 9:00 am – 4:30 pm,Saturday: 9:00 am – 4:30 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.8569959,-4.30389700000001,75%+
Yr Hen Lew Du - Pub,"14-16 Bridge St, Aberystwyth SY23 1PZ, UK",,+441970615378,https://www.breatheyourwelsh.cymru/yrhenlewdu,"Monday: 11:00 am – 12:00 am,Tuesday: 11:00 am – 12:00 am,Wednesday: 11:00 am – 12:00 am,Thursday: 11:00 am – 12:00 am,Friday: 11:00 am – 1:00 am,Saturday: 11:00 am – 1:00 am,Sunday: 11:00 am – 12:00 am",,/static/miralabs/wixapp/images/blank_image.png,52.4135633,-4.08558400000004,75%+
Yr Hen Lyfrgell,"Yr Hen Lyfrgell, Working Street, The Hayes, Cardiff CF10 1BH, UK",,+442920225982,https://www.breatheyourwelsh.cymru/cardiff-theoldlibrary,"Monday: 9:00 am – 5:00 pm,Tuesday: 9:00 am – 5:00 pm,Wednesday: 9:00 am – 5:00 pm,Thursday: 9:00 am – 5:00 pm,Friday: 9:00 am – 5:00 pm,Saturday: 9:00 am – 5:00 pm,Sunday: 10:00 am – 4:00 pm",,/static/miralabs/wixapp/images/blank_image.png,51.4801561,-3.17736669999999,75%+
Ystwyth Books,"7 Princess St, Aberystwyth SY23 1DX, UK",,+441970639479,https://www.breatheyourwelsh.cymru/aberystwyth-ystwythbooks,"Monday: 9:30 am – 5:30 pm,Tuesday: 9:30 am – 5:30 pm,Wednesday: 9:30 am – 5:30 pm,Thursday: 9:30 am – 5:30 pm,Friday: 9:30 am – 5:30 pm,Saturday: 9:30 am – 5:30 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.413636,-4.08627999999999,75%+
